Athlete,Date,Location,Coast
Athlete 506,7/24/2019,USA,East
Athlete 439,7/24/2019,USA,East
Athlete 152,7/23/2019,USA,East
Athlete 152,7/24/2019,USA,East
Athlete 13,8/22/2019,Russia,
Athlete 325,8/22/2019,Russia,
Athlete 186,8/22/2019,Russia,
Athlete 1,8/22/2019,Russia,
Athlete 333,8/22/2019,Russia,
Athlete 530,8/23/2019,Russia,
Athlete 223,8/23/2019,Russia,
Athlete 197,8/23/2019,Russia,
Athlete 1,8/23/2019,Russia,
Athlete 366,8/23/2019,Russia,
Athlete 530,8/24/2019,Russia,
Athlete 223,8/24/2019,Russia,
Athlete 197,8/24/2019,Russia,
Athlete 366,8/24/2019,Russia,
Athlete 186,8/24/2019,Russia,
Athlete 325,8/25/2019,Russia,
Athlete 366,8/25/2019,Russia,
Athlete 530,8/25/2019,Russia,
Athlete 197,8/25/2019,Russia,
Athlete 186,8/25/2019,Russia,
Athlete 61,8/24/2019,Russia,
Athlete 61,8/23/2019,Russia,
Athlete 259,8/27/2019,Russia,
Athlete 13,8/25/2019,Russia,
Athlete 13,8/24/2019,Russia,
Athlete 328,8/28/2019,Russia,
Athlete 328,8/27/2019,Russia,
Athlete 259,8/29/2019,Russia,
Athlete 328,8/29/2019,Russia,
Athlete 186,8/30/2019,Russia,
Athlete 530,8/30/2019,Russia,
Athlete 18,8/30/2019,Russia,
Athlete 387,8/30/2019,Russia,
Athlete 197,8/30/2019,Russia,
Athlete 43,8/30/2019,Russia,
Athlete 106,8/30/2019,Russia,
Athlete 323,8/30/2019,Russia,
Athlete 259,8/30/2019,Russia,
Athlete 223,8/30/2019,Russia,
Athlete 61,8/30/2019,Russia,
Athlete 333,8/30/2019,Russia,
Athlete 328,8/30/2019,Russia,
Athlete 106,8/31/2019,Russia,
Athlete 323,8/31/2019,Russia,
Athlete 197,8/31/2019,Russia,
Athlete 43,8/31/2019,Russia,
Athlete 186,8/31/2019,Russia,
Athlete 61,8/31/2019,Russia,
Athlete 530,9/1/2019,Russia,
Athlete 106,9/1/2019,Russia,
Athlete 323,9/1/2019,Russia,
Athlete 197,9/1/2019,Russia,
Athlete 43,9/1/2019,Russia,
Athlete 18,9/1/2019,Russia,
Athlete 530,9/2/2019,Russia,
Athlete 223,9/1/2019,Russia,
Athlete 223,9/2/2019,Russia,
Athlete 323,9/2/2019,Russia,
Athlete 197,9/4/2019,USA,East
Athlete 366,9/4/2019,USA,East
Athlete 323,9/4/2019,USA,East
Athlete 106,9/4/2019,USA,East
Athlete 223,9/4/2019,USA,East
Athlete 223,9/5/2019,USA,East
Athlete 197,9/5/2019,USA,East
Athlete 366,9/5/2019,USA,East
Athlete 323,9/5/2019,USA,East
Athlete 26,9/6/2019,USA,East
Athlete 18,9/6/2019,USA,East
Athlete 106,9/6/2019,USA,East
Athlete 366,9/6/2019,USA,East
Athlete 1,9/6/2019,USA,East
Athlete 323,9/6/2019,USA,East
Athlete 223,9/6/2019,USA,East
Athlete 197,9/6/2019,USA,East
Athlete 106,9/7/2019,USA,East
Athlete 366,9/7/2019,USA,East
Athlete 323,9/7/2019,USA,East
Athlete 197,9/7/2019,USA,East
Athlete 223,9/7/2019,USA,East
Athlete 1,9/7/2019,USA,East
Athlete 26,9/7/2019,USA,East
Athlete 393,9/11/2019,USA,West
Athlete 403,9/11/2019,USA,West
Athlete 259,9/11/2019,USA,West
Athlete 20,9/11/2019,USA,West
Athlete 506,9/12/2019,USA,West
Athlete 393,9/12/2019,USA,West
Athlete 220,9/12/2019,USA,West
Athlete 403,9/12/2019,USA,West
Athlete 259,9/12/2019,USA,West
Athlete 289,9/12/2019,USA,West
Athlete 490,9/12/2019,USA,West
Athlete 480,9/12/2019,USA,West
Athlete 480,9/13/2019,USA,West
Athlete 289,9/13/2019,USA,West
Athlete 506,9/13/2019,USA,West
Athlete 220,9/13/2019,USA,West
Athlete 11,9/13/2019,USA,West
Athlete 465,9/13/2019,USA,West
Athlete 403,9/13/2019,USA,West
Athlete 259,9/14/2019,USA,West
Athlete 393,9/13/2019,USA,West
Athlete 506,9/14/2019,USA,West
Athlete 490,9/14/2019,USA,West
Athlete 480,9/14/2019,USA,West
Athlete 11,9/14/2019,USA,West
Athlete 289,9/14/2019,USA,West
Athlete 220,9/14/2019,USA,West
Athlete 232,9/12/2019,USA,West
Athlete 232,9/13/2019,USA,West
Athlete 232,9/14/2019,USA,West
Athlete 232,9/15/2019,USA,West
Athlete 11,9/15/2019,USA,West
Athlete 333,9/14/2019,USA,West
Athlete 333,9/13/2019,USA,West
Athlete 465,9/14/2019,USA,West
Athlete 465,9/15/2019,USA,West
Athlete 25,9/20/2019,Switzerland,
Athlete 239,9/20/2019,Switzerland,
Athlete 506,9/20/2019,Switzerland,
Athlete 20,9/20/2019,Switzerland,
Athlete 454,9/20/2019,Switzerland,
Athlete 387,9/20/2019,Switzerland,
Athlete 393,9/20/2019,Switzerland,
Athlete 58,9/20/2019,Switzerland,
Athlete 18,9/20/2019,Switzerland,
Athlete 197,9/20/2019,Switzerland,
Athlete 323,9/20/2019,Switzerland,
Athlete 530,9/20/2019,Switzerland,
Athlete 366,9/20/2019,Switzerland,
Athlete 227,9/20/2019,Switzerland,
Athlete 289,9/21/2019,Switzerland,
Athlete 437,9/20/2019,Switzerland,
Athlete 462,9/20/2019,Switzerland,
Athlete 259,9/20/2019,Switzerland,
Athlete 393,9/21/2019,Switzerland,
Athlete 366,9/21/2019,Switzerland,
Athlete 454,9/21/2019,Switzerland,
Athlete 323,9/21/2019,Switzerland,
Athlete 530,9/21/2019,Switzerland,
Athlete 403,9/21/2019,Switzerland,
Athlete 20,9/21/2019,Switzerland,
Athlete 259,9/21/2019,Switzerland,
Athlete 25,9/21/2019,Switzerland,
Athlete 239,9/21/2019,Switzerland,
Athlete 58,9/21/2019,Switzerland,
Athlete 439,9/22/2019,Switzerland,
Athlete 437,9/21/2019,Switzerland,
Athlete 387,9/22/2019,Switzerland,
Athlete 393,9/22/2019,Switzerland,
Athlete 20,9/22/2019,Switzerland,
Athlete 454,9/22/2019,Switzerland,
Athlete 366,9/22/2019,Switzerland,
Athlete 530,9/22/2019,Switzerland,
Athlete 58,9/22/2019,Switzerland,
Athlete 197,9/22/2019,Switzerland,
Athlete 328,9/22/2019,Switzerland,
Athlete 437,9/22/2019,Switzerland,
Athlete 259,9/22/2019,Switzerland,
Athlete 546,9/22/2019,Switzerland,
Athlete 25,9/27/2019,Switzerland,
Athlete 201,9/27/2019,Switzerland,
Athlete 239,9/27/2019,Switzerland,
Athlete 152,9/27/2019,Switzerland,
Athlete 289,9/27/2019,Switzerland,
Athlete 11,9/27/2019,Switzerland,
Athlete 454,9/26/2019,Switzerland,
Athlete 465,9/27/2019,Switzerland,
Athlete 43,9/27/2019,Switzerland,
Athlete 27,9/27/2019,Switzerland,
Athlete 13,9/27/2019,Switzerland,
Athlete 201,9/28/2019,Switzerland,
Athlete 27,9/28/2019,Switzerland,
Athlete 227,9/28/2019,Switzerland,
Athlete 152,9/28/2019,Switzerland,
Athlete 25,9/28/2019,Switzerland,
Athlete 465,9/28/2019,Switzerland,
Athlete 454,9/27/2019,Switzerland,
Athlete 289,9/28/2019,Switzerland,
Athlete 43,9/28/2019,Switzerland,
Athlete 26,9/29/2019,Switzerland,
Athlete 201,9/29/2019,Switzerland,
Athlete 454,9/29/2019,Switzerland,
Athlete 289,9/29/2019,Switzerland,
Athlete 25,9/29/2019,Switzerland,
Athlete 13,9/28/2019,Switzerland,
Athlete 13,9/29/2019,Switzerland,
Athlete 239,9/29/2019,Switzerland,
Athlete 393,9/29/2019,Switzerland,
Athlete 465,9/29/2019,Switzerland,
Athlete 186,9/30/2019,Switzerland,
Athlete 259,9/29/2019,Switzerland,
Athlete 58,9/30/2019,Switzerland,
Athlete 546,9/28/2019,Switzerland,
Athlete 43,9/29/2019,Switzerland,
Athlete 270,9/29/2019,Switzerland,
Athlete 270,9/28/2019,Switzerland,
Athlete 270,9/27/2019,Switzerland,
Athlete 27,9/29/2019,Switzerland,
Athlete 26,9/30/2019,Switzerland,
Athlete 259,9/30/2019,Switzerland,
Athlete 393,9/30/2019,Switzerland,
Athlete 20,10/1/2019,Germany,
Athlete 58,10/1/2019,Germany,
Athlete 186,10/1/2019,Switzerland,
Athlete 333,9/30/2019,Switzerland,
Athlete 333,9/29/2019,Switzerland,
Athlete 393,10/1/2019,Switzerland,
Athlete 393,10/2/2019,Switzerland,
Athlete 106,10/3/2019,Switzerland,
Athlete 259,10/2/2019,Switzerland,
Athlete 333,10/1/2019,Switzerland,
Athlete 201,10/4/2019,Switzerland,
Athlete 106,10/4/2019,Switzerland,
Athlete 459,10/4/2019,Switzerland,
Athlete 43,10/4/2019,Switzerland,
Athlete 27,10/4/2019,Switzerland,
Athlete 323,10/4/2019,Switzerland,
Athlete 530,10/4/2019,Switzerland,
Athlete 227,10/4/2019,Switzerland,
Athlete 454,10/4/2019,Switzerland,
Athlete 11,10/4/2019,Switzerland,
Athlete 232,10/4/2019,Switzerland,
Athlete 480,10/4/2019,Switzerland,
Athlete 220,10/4/2019,Switzerland,
Athlete 506,10/4/2019,Switzerland,
Athlete 366,10/4/2019,Switzerland,
Athlete 289,10/4/2019,Switzerland,
Athlete 25,10/4/2019,Switzerland,
Athlete 439,10/5/2019,Switzerland,
Athlete 83,10/4/2019,Switzerland,
Athlete 465,10/4/2019,Switzerland,
Athlete 437,10/4/2019,Switzerland,
Athlete 201,10/5/2019,Switzerland,
Athlete 220,10/5/2019,Switzerland,
Athlete 323,10/5/2019,Switzerland,
Athlete 106,10/5/2019,Switzerland,
Athlete 366,10/5/2019,Switzerland,
Athlete 530,10/5/2019,Switzerland,
Athlete 227,10/5/2019,Switzerland,
Athlete 454,10/5/2019,Switzerland,
Athlete 11,10/5/2019,Switzerland,
Athlete 25,10/5/2019,Switzerland,
Athlete 232,10/5/2019,Switzerland,
Athlete 328,10/5/2019,Switzerland,
Athlete 465,10/5/2019,Switzerland,
Athlete 437,10/5/2019,Switzerland,
Athlete 106,10/6/2019,Switzerland,
Athlete 239,10/6/2019,Switzerland,
Athlete 530,10/6/2019,Switzerland,
Athlete 366,10/6/2019,Switzerland,
Athlete 152,10/6/2019,Switzerland,
Athlete 439,10/6/2019,Switzerland,
Athlete 197,10/6/2019,Switzerland,
Athlete 83,10/5/2019,Switzerland,
Athlete 43,10/6/2019,Switzerland,
Athlete 328,10/6/2019,Switzerland,
Athlete 25,10/6/2019,Switzerland,
Athlete 18,10/7/2019,Switzerland,
Athlete 106,10/7/2019,Switzerland,
Athlete 27,10/6/2019,Switzerland,
Athlete 328,10/7/2019,Switzerland,
Athlete 393,10/11/2019,Austria,
Athlete 459,10/11/2019,Austria,
Athlete 403,10/11/2019,Austria,
Athlete 20,10/11/2019,Austria,
Athlete 259,10/11/2019,Austria,
Athlete 333,10/12/2019,Austria,
Athlete 325,10/11/2019,Austria,
Athlete 61,10/11/2019,Austria,
Athlete 239,10/12/2019,Austria,
Athlete 61,10/12/2019,Austria,
Athlete 186,10/12/2019,Austria,
Athlete 393,10/12/2019,Austria,
Athlete 20,10/12/2019,Austria,
Athlete 259,10/12/2019,Austria,
Athlete 454,10/12/2019,Austria,
Athlete 403,10/12/2019,Austria,
Athlete 208,10/12/2019,Austria,
Athlete 325,10/12/2019,Austria,
Athlete 437,10/11/2019,Austria,
Athlete 454,10/13/2019,Austria,
Athlete 393,10/13/2019,Austria,
Athlete 20,10/13/2019,Austria,
Athlete 259,10/13/2019,Austria,
Athlete 403,10/13/2019,Austria,
Athlete 26,10/11/2019,Austria,
Athlete 26,10/12/2019,Austria,
Athlete 208,10/14/2019,Austria,
Athlete 208,10/15/2019,Austria,
Athlete 239,10/15/2019,Austria,
Athlete 333,10/13/2019,Austria,
Athlete 239,10/16/2019,France,
Athlete 227,10/16/2019,France,
Athlete 239,10/17/2019,France,
Athlete 197,10/17/2019,France,
Athlete 13,10/17/2019,France,
Athlete 186,10/17/2019,France,
Athlete 403,10/17/2019,France,
Athlete 393,10/17/2019,France,
Athlete 366,10/18/2019,France,
Athlete 333,10/17/2019,France,
Athlete 239,10/18/2019,France,
Athlete 259,10/17/2019,France,
Athlete 323,10/18/2019,France,
Athlete 393,10/18/2019,France,
Athlete 490,10/18/2019,France,
Athlete 403,10/18/2019,France,
Athlete 289,10/18/2019,France,
Athlete 506,10/18/2019,France,
Athlete 13,10/18/2019,France,
Athlete 220,10/18/2019,France,
Athlete 480,10/18/2019,France,
Athlete 186,10/18/2019,France,
Athlete 259,10/18/2019,France,
Athlete 323,10/19/2019,France,
Athlete 186,10/19/2019,France,
Athlete 13,10/19/2019,France,
Athlete 506,10/19/2019,France,
Athlete 366,10/20/2019,France,
Athlete 490,10/19/2019,France,
Athlete 289,10/19/2019,France,
Athlete 325,10/19/2019,France,
Athlete 43,10/22/2019,France,
Athlete 1,10/23/2019,France,
Athlete 26,10/23/2019,France,
Athlete 358,10/23/2019,France,
Athlete 1,10/24/2019,France,
Athlete 454,10/25/2019,France,
Athlete 393,10/25/2019,France,
Athlete 11,10/25/2019,France,
Athlete 465,10/25/2019,France,
Athlete 232,10/25/2019,France,
Athlete 439,10/24/2019,France,
Athlete 25,10/24/2019,France,
Athlete 106,10/25/2019,France,
Athlete 439,10/26/2019,France,
Athlete 11,10/26/2019,France,
Athlete 232,10/26/2019,France,
Athlete 25,10/26/2019,France,
Athlete 465,10/26/2019,France,
Athlete 43,10/26/2019,France,
Athlete 232,10/27/2019,France,
Athlete 11,10/27/2019,France,
Athlete 465,10/27/2019,France,
Athlete 106,10/27/2019,France,
Athlete 43,10/27/2019,France,
Athlete 1,10/28/2019,France,
Athlete 328,10/28/2019,France,
Athlete 43,10/28/2019,France,
Athlete 43,10/29/2019,France,
Athlete 333,10/30/2019,France,
Athlete 459,11/1/2019,USA,East
Athlete 186,11/1/2019,USA,East
Athlete 152,11/1/2019,USA,East
Athlete 393,11/1/2019,USA,East
Athlete 27,11/1/2019,USA,East
Athlete 227,11/1/2019,USA,East
Athlete 239,11/1/2019,USA,East
Athlete 13,11/1/2019,USA,East
Athlete 61,11/1/2019,USA,East
Athlete 454,11/1/2019,USA,East
Athlete 259,11/1/2019,USA,East
Athlete 437,11/1/2019,USA,East
Athlete 26,11/1/2019,USA,East
Athlete 393,11/2/2019,USA,East
Athlete 18,11/2/2019,USA,East
Athlete 439,11/2/2019,USA,East
Athlete 454,11/2/2019,USA,East
Athlete 289,11/1/2019,USA,East
Athlete 289,11/2/2019,USA,East
Athlete 43,11/1/2019,USA,East
Athlete 152,11/2/2019,USA,East
Athlete 186,11/2/2019,USA,East
Athlete 1,11/2/2019,USA,East
Athlete 61,11/2/2019,USA,East
Athlete 201,11/2/2019,USA,East
Athlete 462,11/2/2019,USA,East
Athlete 459,11/2/2019,USA,East
Athlete 27,11/2/2019,USA,East
Athlete 13,11/2/2019,USA,East
Athlete 328,11/2/2019,USA,East
Athlete 437,11/2/2019,USA,East
Athlete 325,11/2/2019,USA,East
Athlete 25,11/1/2019,USA,East
Athlete 25,11/2/2019,USA,East
Athlete 259,11/2/2019,USA,East
Athlete 393,11/3/2019,USA,East
Athlete 61,11/3/2019,USA,East
Athlete 454,11/3/2019,USA,East
Athlete 201,11/3/2019,USA,East
Athlete 18,11/3/2019,USA,East
Athlete 186,11/3/2019,USA,East
Athlete 459,11/3/2019,USA,East
Athlete 437,11/3/2019,USA,East
Athlete 13,11/3/2019,USA,East
Athlete 27,11/3/2019,USA,East
Athlete 26,11/3/2019,USA,East
Athlete 289,11/3/2019,USA,East
Athlete 325,11/3/2019,USA,East
Athlete 43,11/3/2019,USA,East
Athlete 43,11/5/2019,USA,East
Athlete 393,11/6/2019,Canada,West
Athlete 259,11/6/2019,Canada,West
Athlete 366,11/6/2019,Canada,West
Athlete 530,11/6/2019,Canada,West
Athlete 403,11/6/2019,Canada,West
Athlete 323,11/6/2019,Canada,West
Athlete 328,11/6/2019,Canada,West
Athlete 18,11/6/2019,Canada,West
Athlete 232,11/6/2019,Canada,West
Athlete 26,11/6/2019,Canada,West
Athlete 197,11/6/2019,Canada,West
Athlete 197,11/7/2019,Canada,West
Athlete 58,11/7/2019,Canada,West
Athlete 18,11/7/2019,Canada,West
Athlete 393,11/7/2019,Canada,West
Athlete 259,11/7/2019,Canada,West
Athlete 530,11/7/2019,Canada,West
Athlete 403,11/7/2019,Canada,West
Athlete 323,11/7/2019,Canada,West
Athlete 393,11/8/2019,Canada,West
Athlete 58,11/8/2019,Canada,West
Athlete 403,11/8/2019,Canada,West
Athlete 259,11/8/2019,Canada,West
Athlete 18,11/8/2019,Canada,West
Athlete 530,11/8/2019,Canada,West
Athlete 323,11/8/2019,Canada,West
Athlete 328,11/8/2019,Canada,West
Athlete 454,11/9/2019,Canada,West
Athlete 328,11/9/2019,Canada,West
Athlete 323,11/9/2019,Canada,West
Athlete 530,11/9/2019,Canada,West
Athlete 393,11/9/2019,Canada,West
Athlete 403,11/9/2019,Canada,West
Athlete 197,11/9/2019,Canada,West
Athlete 259,11/10/2019,Canada,West
Athlete 328,11/10/2019,Canada,West
Athlete 454,11/10/2019,Canada,West
Athlete 197,11/12/2019,USA,East
Athlete 240,11/14/2019,USA,East
Athlete 459,11/14/2019,USA,East
Athlete 546,11/14/2019,USA,East
Athlete 437,11/14/2019,USA,East
Athlete 61,11/15/2019,USA,East
Athlete 239,11/15/2019,USA,East
Athlete 152,11/15/2019,USA,East
Athlete 227,11/15/2019,USA,East
Athlete 530,11/15/2019,USA,East
Athlete 43,11/15/2019,USA,East
Athlete 240,11/15/2019,USA,East
Athlete 25,11/15/2019,USA,East
Athlete 459,11/15/2019,USA,East
Athlete 11,11/15/2019,USA,East
Athlete 323,11/15/2019,USA,East
Athlete 437,11/15/2019,USA,East
Athlete 83,11/15/2019,USA,East
Athlete 530,11/16/2019,USA,East
Athlete 25,11/16/2019,USA,East
Athlete 465,11/15/2019,USA,East
Athlete 186,11/16/2019,USA,East
Athlete 459,11/16/2019,USA,East
Athlete 61,11/16/2019,USA,East
Athlete 152,11/16/2019,USA,East
Athlete 11,11/16/2019,USA,East
Athlete 227,11/16/2019,USA,East
Athlete 323,11/16/2019,USA,East
Athlete 465,11/16/2019,USA,East
Athlete 208,11/16/2019,USA,East
Athlete 530,11/17/2019,USA,East
Athlete 186,11/17/2019,USA,East
Athlete 25,11/17/2019,USA,East
Athlete 437,11/16/2019,USA,East
Athlete 11,11/17/2019,USA,East
Athlete 152,11/17/2019,USA,East
Athlete 232,11/17/2019,USA,East
Athlete 61,11/17/2019,USA,East
Athlete 366,11/17/2019,USA,East
Athlete 325,11/16/2019,USA,East
Athlete 325,11/17/2019,USA,East
Athlete 208,11/17/2019,USA,East
Athlete 43,11/18/2019,USA,East
Athlete 465,11/17/2019,USA,East
Athlete 530,11/18/2019,USA,East
Athlete 366,11/18/2019,USA,East
Athlete 323,11/18/2019,USA,East
Athlete 186,11/18/2019,USA,East
Athlete 232,11/18/2019,USA,East
Athlete 61,11/18/2019,USA,East
Athlete 27,11/16/2019,USA,East
Athlete 27,11/17/2019,USA,East
Athlete 325,11/18/2019,USA,East
Athlete 58,11/19/2019,USA,East
Athlete 43,11/19/2019,USA,East
Athlete 232,11/20/2019,USA,East
Athlete 459,11/20/2019,USA,East
Athlete 480,11/22/2019,USA,East
Athlete 26,11/22/2019,USA,East
Athlete 506,11/22/2019,USA,East
Athlete 366,11/23/2019,USA,East
Athlete 506,11/23/2019,USA,East
Athlete 289,11/22/2019,USA,East
Athlete 480,11/23/2019,USA,East
Athlete 220,11/23/2019,USA,East
Athlete 289,11/23/2019,USA,East
Athlete 1,11/23/2019,USA,East
Athlete 480,11/24/2019,USA,East
Athlete 506,11/24/2019,USA,East
Athlete 289,11/24/2019,USA,East
Athlete 13,11/27/2019,USA,East
Athlete 43,11/27/2019,USA,East
Athlete 530,11/28/2019,USA,East
Athlete 197,11/28/2019,USA,East
Athlete 366,11/28/2019,USA,East
Athlete 393,11/28/2019,USA,East
Athlete 259,11/28/2019,USA,East
Athlete 403,11/28/2019,USA,East
Athlete 58,11/28/2019,USA,East
Athlete 506,11/29/2019,USA,East
Athlete 459,11/29/2019,USA,East
Athlete 259,11/29/2019,USA,East
Athlete 58,11/29/2019,USA,East
Athlete 393,11/29/2019,USA,East
Athlete 25,11/29/2019,USA,East
Athlete 366,11/29/2019,USA,East
Athlete 530,11/29/2019,USA,East
Athlete 197,11/29/2019,USA,East
Athlete 480,11/29/2019,USA,East
Athlete 220,11/29/2019,USA,East
Athlete 454,11/29/2019,USA,East
Athlete 403,11/29/2019,USA,East
Athlete 11,11/29/2019,USA,East
Athlete 325,11/29/2019,USA,East
Athlete 387,11/29/2019,USA,East
Athlete 465,11/29/2019,USA,East
Athlete 437,11/29/2019,USA,East
Athlete 333,11/29/2019,USA,East
