Athlete,Team,Survey_Completed,Date_New,DayOfEntry,DayOfEntry_TEXT,Sleep_Hours,Nap_Hours,Sleep_Quality,Fatigue,Soreness,Stress,Readiness,Motivation,Wellness/Load
Athlete 208,Team 2,1/8/2019 9:48,NA,1,NA,8,0,89,3,46,100,63,100,Wellness
Athlete 58,Team 1,1/8/2019 9:57,NA,2,NA,5,0,33,9,14,100,44,60,Wellness
Athlete 259,Team 2,1/8/2019 9:57,NA,1,NA,7.7,0,76,0,0,100,36,70,Wellness
Athlete 58,Team 1,1/8/2019 9:58,NA,2,NA,7,0,100,0,42,100,57,100,Wellness
Athlete 289,Team 1,1/8/2019 10:07,NA,1,NA,7.5,0.5,52,0,0,50,83,60,Wellness
Athlete 238,Team 2,1/8/2019 10:35,NA,1,NA,7.3,0,65,0,52,73,98,96,Wellness
Athlete 13,Team 2,1/8/2019 11:20,NA,1,NA,8,0,71,0,18,100,48,100,Wellness
Athlete 459,Team 2,1/8/2019 11:52,NA,1,NA,9,0,67,0,6,100,47,62,Wellness
Athlete 106,Team 1,1/8/2019 11:53,NA,1,NA,4,2,87,36,31,18,33,32,Wellness
Athlete 480,Team 2,1/8/2019 13:00,NA,1,NA,6.3,0,50,29,7,63,86,50,Wellness
Athlete 186,Team 2,1/8/2019 15:07,NA,1,NA,6,0,24,64,0,17,34,52,Wellness
Athlete 437,Team 1,1/9/2019 2:23,NA,2,NA,8.3,0,81,36,67,74,64,56,Wellness
Athlete 546,Team 1,1/9/2019 2:37,NA,2,NA,6,0.5,75,5,10,92,69,70,Wellness
Athlete 25,Team 2,1/9/2019 6:27,NA,1,NA,8.5,0,52,0,37,100,43,82,Wellness
Athlete 106,Team 1,1/9/2019 6:45,NA,1,NA,3,4,76,20,2,18,80,60,Wellness
Athlete 270,Team 2,1/9/2019 7:01,NA,1,NA,9.8,0,0,69,37,41,0,68,Wellness
Athlete 325,Team 2,1/9/2019 7:05,NA,1,NA,8.5,0,100,0,36,100,56,71,Wellness
Athlete 61,Team 1,1/9/2019 7:07,NA,1,NA,7,0,26,59,6,100,97,72,Wellness
Athlete 480,Team 2,1/9/2019 7:17,NA,1,NA,9.5,0,81,18,19,81,56,62,Wellness
Athlete 387,Team 2,1/9/2019 7:32,NA,1,NA,7,0,86,8,30,100,100,82,Wellness
Athlete 201,Team 2,1/9/2019 8:00,NA,1,NA,8,0,61,46,21,20,39,22,Wellness
Athlete 13,Team 2,1/9/2019 8:05,NA,1,NA,6,0,50,58,1,100,88,82,Wellness
Athlete 13,Team 2,1/9/2019 8:05,NA,2,NA,6,0,50,58,1,100,88,82,Wellness
Athlete 18,Team 1,1/9/2019 8:07,NA,1,NA,8,0,85,23,63,94,64,82,Wellness
Athlete 418,Team 1,1/9/2019 8:15,NA,1,NA,7.8,0,61,36,23,78,57,67,Wellness
Athlete 289,Team 1,1/9/2019 8:16,NA,1,NA,7,0,60,6,37,51,59,59,Wellness
Athlete 43,Team 2,1/9/2019 8:41,NA,1,NA,8.4,0,83,0,0,86,81,93,Wellness
Athlete 5,Team 2,1/9/2019 8:52,NA,1,NA,7,0,91,29,47,51,12,39,Wellness
Athlete 506,Team 2,1/9/2019 10:00,NA,1,NA,8.2,0,59,1,16,99,49,83,Wellness
Athlete 259,Team 2,1/9/2019 10:24,NA,1,NA,7.9,0,66,13,2,100,68,76,Wellness
Athlete 58,Team 1,1/9/2019 10:49,NA,1,NA,8.1,0,85,0,35,100,77,100,Wellness
Athlete 465,Team 1,1/9/2019 10:49,NA,1,NA,8,0,60,11,12,97,77,69,Wellness
Athlete 208,Team 2,1/9/2019 11:10,NA,1,NA,8.5,0,90,0,39,100,65,75,Wellness
Athlete 180,Team 2,1/9/2019 11:31,NA,1,NA,9.5,0,95,13,30,91,43,78,Wellness
Athlete 186,Team 2,1/9/2019 12:16,NA,1,NA,8.1,0,51,20,2,42,44,56,Wellness
Athlete 459,Team 2,1/9/2019 12:35,NA,1,NA,9.5,0,66,0,17,100,68,61,Wellness
Athlete 238,Team 2,1/9/2019 13:10,NA,1,NA,8.4,0,72,40,29,80,65,59,Wellness
Athlete 437,Team 1,1/9/2019 14:22,NA,1,NA,9.3,0,56,40,51,84,48,62,Wellness
Athlete 25,Team 2,1/10/2019 5:56,NA,1,NA,9.2,0,68,0,22,84,45,62,Wellness
Athlete 43,Team 2,1/10/2019 7:01,NA,1,NA,7,0,63,27,0,76,73,79,Wellness
Athlete 13,Team 2,1/10/2019 7:04,NA,1,NA,6.7,0,74,63,22,100,70,75,Wellness
Athlete 480,Team 2,1/10/2019 7:05,NA,1,NA,8.5,0,65,36,59,53,47,66,Wellness
Athlete 201,Team 2,1/10/2019 7:06,NA,1,NA,8.4,0,84,32,67,73,47,49,Wellness
Athlete 238,Team 2,1/10/2019 7:19,NA,1,NA,8.6,0,76,0,0,100,100,99,Wellness
Athlete 270,Team 2,1/10/2019 7:19,NA,1,NA,9.9,2,86,0,0,61,29,92,Wellness
Athlete 333,Team 2,1/10/2019 8:11,NA,1,NA,9.2,0,75,22,0,83,86,80,Wellness
Athlete 459,Team 2,1/10/2019 8:25,NA,1,NA,6.5,0,58,8,9,100,48,56,Wellness
Athlete 180,Team 2,1/10/2019 8:47,NA,1,NA,7.5,0,68,60,10,69,76,72,Wellness
Athlete 289,Team 1,1/10/2019 8:51,NA,1,NA,7,1,56,37,35,46,66,47,Wellness
Athlete 325,Team 2,1/10/2019 8:51,NA,1,NA,7,0,100,14,41,100,85,93,Wellness
Athlete 465,Team 1,1/10/2019 9:14,NA,1,NA,9,0,60,9,11,91,80,66,Wellness
Athlete 61,Team 1,1/10/2019 9:47,NA,1,NA,7.1,0,62,24,0,61,90,50,Wellness
Athlete 208,Team 2,1/10/2019 9:49,NA,1,NA,9,0,72,0,20,100,60,85,Wellness
Athlete 506,Team 2,1/10/2019 9:49,NA,1,NA,7,0,47,0,18,100,46,71,Wellness
Athlete 387,Team 2,1/10/2019 10:28,NA,1,NA,7.7,0,98,0,26,100,78,92,Wellness
Athlete 18,Team 1,1/10/2019 11:21,NA,1,NA,6,0,61,36,59,100,64,81,Wellness
Athlete 439,Team 1,1/10/2019 16:03,NA,1,NA,6,0,50,48,14,52,100,64,Wellness
Athlete 259,Team 2,1/10/2019 17:43,NA,1,NA,7.4,0,71,0,37,100,78,84,Wellness
Athlete 546,Team 1,1/10/2019 20:14,NA,1,NA,7.5,0,66,11,12,66,65,66,Wellness
Athlete 437,Team 1,1/10/2019 20:33,NA,1,NA,7.3,0,58,61,23,70,60,49,Wellness
Athlete 25,Team 2,1/11/2019 6:15,NA,1,NA,8,0,67,0,20,100,40,76,Wellness
Athlete 270,Team 2,1/11/2019 6:57,NA,1,NA,7.2,0,71,39,28,100,0,91,Wellness
Athlete 43,Team 2,1/11/2019 7:01,NA,1,NA,6,0,60,45,0,79,49,63,Wellness
Athlete 465,Team 1,1/11/2019 7:04,NA,1,NA,7.1,0,35,14,0,80,92,44,Wellness
Athlete 439,Team 1,1/11/2019 7:05,NA,1,NA,8,0,64,37,25,49,64,66,Wellness
Athlete 201,Team 2,1/11/2019 7:08,NA,1,NA,9,0,16,56,72,46,43,49,Wellness
Athlete 459,Team 2,1/11/2019 7:12,NA,1,NA,6.8,1,68,7,9,100,53,52,Wellness
Athlete 333,Team 2,1/11/2019 7:16,NA,1,NA,9.1,0,82,13,0,100,75,98,Wellness
Athlete 437,Team 1,1/11/2019 7:28,NA,1,NA,4,0,45,39,9,73,39,60,Wellness
Athlete 61,Team 1,1/11/2019 7:34,NA,1,NA,8,0,85,38,21,74,80,92,Wellness
Athlete 58,Team 1,1/11/2019 7:40,NA,1,NA,10.1,0,100,94,26,100,77,88,Wellness
Athlete 289,Team 1,1/11/2019 8:00,NA,1,NA,7.9,1.3,88,0,41,56,53,64,Wellness
Athlete 259,Team 2,1/11/2019 8:22,NA,1,NA,9,0.6,100,0,14,100,96,97,Wellness
Athlete 506,Team 2,1/11/2019 8:39,NA,1,NA,5.9,0.5,49,24,97,64,54,63,Wellness
Athlete 387,Team 2,1/11/2019 8:48,NA,1,NA,7,0,86,20,20,100,90,95,Wellness
Athlete 208,Team 2,1/11/2019 9:25,NA,1,NA,8.6,0,83,13,19,100,64,83,Wellness
Athlete 18,Team 1,1/11/2019 9:30,NA,1,NA,8.1,0,80,0,44,90,70,73,Wellness
Athlete 325,Team 2,1/11/2019 9:45,NA,1,NA,7.1,0,57,0,37,100,67,73,Wellness
Athlete 13,Team 2,1/11/2019 9:54,NA,1,NA,9.2,0,90,0,76,100,78,91,Wellness
Athlete 323,Team 1,1/11/2019 10:12,NA,4,NA,7,0,77,27,0,83,46,78,Wellness
Athlete 323,Team 1,1/11/2019 10:13,NA,3,NA,7,0,37,19,0,67,69,76,Wellness
Athlete 323,Team 1,1/11/2019 10:14,NA,2,NA,7.9,1.3,67,14,0,89,76,78,Wellness
Athlete 323,Team 1,1/11/2019 10:14,NA,1,NA,7.9,1.3,67,14,0,89,76,78,Wellness
Athlete 323,Team 1,1/11/2019 10:14,NA,2,NA,6.4,0,86,18,0,100,75,94,Wellness
Athlete 323,Team 1,1/11/2019 10:14,NA,1,NA,6.4,0,86,18,0,100,75,94,Wellness
Athlete 180,Team 2,1/11/2019 10:36,NA,1,NA,9,0,89,5,7,84,68,90,Wellness
Athlete 480,Team 2,1/11/2019 15:03,NA,1,NA,12.1,0,37,0,27,42,18,46,Wellness
Athlete 238,Team 2,1/11/2019 15:20,NA,2,NA,8.1,0,94,13,8,71,49,100,Wellness
Athlete 238,Team 2,1/11/2019 15:20,NA,1,NA,8.1,0,94,13,8,71,49,100,Wellness
Athlete 5,Team 2,1/11/2019 18:28,NA,1,NA,9,0,100,33,0,28,75,68,Wellness
Athlete 106,Team 1,1/11/2019 21:32,NA,1,NA,7.1,2.5,94,34,9,74,23,80,Wellness
Athlete 506,Team 2,1/12/2019 6:21,NA,1,NA,9.3,0,38,48,9,72,47,50,Wellness
Athlete 270,Team 2,1/12/2019 6:48,NA,1,NA,8.7,0,77,0,0,100,39,91,Wellness
Athlete 439,Team 1,1/12/2019 7:09,NA,1,NA,8,0,82,23,12,87,77,75,Wellness
Athlete 418,Team 1,1/12/2019 7:13,NA,1,NA,6.2,1,34,65,23,81,44,33,Wellness
Athlete 58,Team 1,1/12/2019 7:24,NA,1,NA,8.2,0,86,0,0,100,80,88,Wellness
Athlete 201,Team 2,1/12/2019 7:34,NA,1,NA,9,0,75,15,58,87,28,96,Wellness
Athlete 465,Team 1,1/12/2019 7:35,NA,1,NA,7,0,60,12,4,86,88,63,Wellness
Athlete 18,Team 1,1/12/2019 7:47,NA,2,NA,6.4,0,72,0,45,100,82,76,Wellness
Athlete 18,Team 1,1/12/2019 7:47,NA,1,NA,6.4,0,72,0,45,100,82,76,Wellness
Athlete 289,Team 1,1/12/2019 7:51,NA,1,NA,6.4,0,20,54,14,20,26,29,Wellness
Athlete 25,Team 2,1/12/2019 7:58,NA,1,NA,10.1,0,80,0,9,80,24,70,Wellness
Athlete 43,Team 2,1/12/2019 8:03,NA,1,NA,7,1.5,76,26,0,76,78,70,Wellness
Athlete 106,Team 1,1/12/2019 8:04,NA,1,NA,6,0,82,12,7,70,91,75,Wellness
Athlete 259,Team 2,1/12/2019 8:09,NA,2,NA,9.2,0,94,0,0,100,100,100,Wellness
Athlete 259,Team 2,1/12/2019 8:09,NA,1,NA,9.2,0,94,0,0,100,100,100,Wellness
Athlete 13,Team 2,1/12/2019 8:26,NA,1,NA,8,0,70,0,48,100,0,100,Wellness
Athlete 208,Team 2,1/12/2019 8:42,NA,1,NA,7,0,13,54,0,100,33,35,Wellness
Athlete 61,Team 1,1/12/2019 9:04,NA,1,NA,8,0,71,0,24,100,0,78,Wellness
Athlete 437,Team 1,1/12/2019 9:12,NA,1,NA,8.2,3,57,20,1,96,58,60,Wellness
Athlete 459,Team 2,1/12/2019 9:22,NA,1,NA,6.8,0,49,13,13,83,81,79,Wellness
Athlete 180,Team 2,1/12/2019 9:31,NA,1,NA,8.5,0,88,16,13,85,88,78,Wellness
Athlete 236,Team 1,1/12/2019 9:59,NA,1,NA,8,0,100,3,30,100,86,100,Wellness
Athlete 323,Team 1,1/12/2019 10:26,NA,1,NA,9.5,0,100,0,5,100,79,100,Wellness
Athlete 387,Team 2,1/12/2019 11:15,NA,1,NA,6.9,0,76,0,10,100,100,100,Wellness
Athlete 5,Team 2,1/12/2019 13:36,NA,1,NA,9,0,100,0,0,85,83,100,Wellness
Athlete 439,Team 1,1/13/2019 7:09,NA,1,NA,8,0,86,11,0,88,96,95,Wellness
Athlete 270,Team 2,1/13/2019 7:14,NA,1,NA,9.9,0,88,0,0,100,0,91,Wellness
Athlete 18,Team 1,1/13/2019 8:13,NA,1,NA,7.4,0,64,20,29,91,69,74,Wellness
Athlete 240,Team 1,1/13/2019 8:14,NA,1,NA,8,0.8,67,0,0,64,50,47,Wellness
Athlete 106,Team 1,1/13/2019 8:19,NA,1,NA,6.5,0,64,22,8,82,57,59,Wellness
Athlete 25,Team 2,1/13/2019 8:36,NA,1,NA,10,0,74,0,5,81,37,79,Wellness
Athlete 5,Team 2,1/13/2019 8:44,NA,1,NA,7.2,0,100,20,0,100,76,83,Wellness
Athlete 387,Team 2,1/13/2019 8:56,NA,1,NA,6.5,0,74,20,7,100,100,100,Wellness
Athlete 459,Team 2,1/13/2019 9:16,NA,1,NA,8,0,59,13,12,89,57,71,Wellness
Athlete 201,Team 2,1/13/2019 9:18,NA,1,NA,8.5,0,28,24,12,35,14,59,Wellness
Athlete 289,Team 1,1/13/2019 9:28,NA,1,NA,8.1,0,64,0,21,44,59,44,Wellness
Athlete 437,Team 1,1/13/2019 9:30,NA,1,NA,8,0,29,66,0,85,50,50,Wellness
Athlete 506,Team 2,1/13/2019 9:31,NA,1,NA,8.7,0,49,8,10,96,83,78,Wellness
Athlete 43,Team 2,1/13/2019 10:13,NA,1,NA,7.6,0,78,14,0,87,79,84,Wellness
Athlete 77,Team 1,1/13/2019 12:35,NA,1,NA,9,0,100,0,0,68,100,91,Wellness
Athlete 259,Team 2,1/13/2019 17:07,NA,1,NA,3,0,17,69,13,100,32,56,Wellness
Athlete 366,Team 1,1/13/2019 19:25,NA,3,NA,8.1,0,49,25,37,91,51,62,Wellness
Athlete 366,Team 1,1/13/2019 19:29,NA,2,NA,7.4,0,31,50,74,96,68,66,Wellness
Athlete 323,Team 1,1/13/2019 19:29,NA,1,NA,7.6,0,93,0,0,100,88,98,Wellness
Athlete 13,Team 2,1/13/2019 21:52,NA,1,NA,7.9,0,82,0,17,100,0,89,Wellness
Athlete 480,Team 2,1/13/2019 22:52,NA,1,NA,7.8,0,14,30,0,69,57,38,Wellness
Athlete 106,Team 1,1/14/2019 5:44,NA,1,NA,6.5,0,75,3,3,84,3,82,Wellness
Athlete 201,Team 2,1/14/2019 7:03,NA,1,NA,8.4,0,68,12,12,82,41,67,Wellness
Athlete 270,Team 2,1/14/2019 7:37,NA,1,NA,6,0.3,91,0,20,100,33,75,Wellness
Athlete 439,Team 1,1/14/2019 7:40,NA,1,NA,7,0,53,33,0,70,100,88,Wellness
Athlete 506,Team 2,1/14/2019 7:54,NA,1,NA,7.9,0,54,3,3,92,50,68,Wellness
Athlete 333,Team 2,1/14/2019 8:09,NA,1,NA,10.1,0,100,0,0,100,18,96,Wellness
Athlete 387,Team 2,1/14/2019 8:43,NA,1,NA,8,2,72,0,0,100,76,100,Wellness
Athlete 480,Team 2,1/14/2019 8:44,NA,1,NA,8.5,0,37,34,12,65,63,49,Wellness
Athlete 418,Team 1,1/14/2019 8:56,NA,1,NA,8.1,0,80,27,47,82,38,59,Wellness
Athlete 259,Team 2,1/14/2019 9:21,NA,1,NA,9.3,3,69,0,0,100,100,100,Wellness
Athlete 61,Team 1,1/14/2019 9:37,NA,2,NA,8.2,0,44,20,24,84,36,58,Wellness
Athlete 61,Team 1,1/14/2019 9:37,NA,2,NA,8.2,0,44,20,24,84,36,58,Wellness
Athlete 61,Team 1,1/14/2019 9:38,NA,1,NA,8.4,0,58,20,25,62,83,70,Wellness
Athlete 13,Team 2,1/14/2019 9:48,NA,1,NA,8.9,1.1,98,0,0,100,93,98,Wellness
Athlete 43,Team 2,1/14/2019 9:48,NA,1,NA,7.5,0.3,77,23,0,88,95,88,Wellness
Athlete 289,Team 1,1/14/2019 9:49,NA,1,NA,7.3,0,53,35,0,33,52,38,Wellness
Athlete 459,Team 2,1/14/2019 9:50,NA,1,NA,7,0,54,7,45,88,71,85,Wellness
Athlete 240,Team 1,1/14/2019 9:51,NA,1,NA,6,0,52,16,0,77,56,57,Wellness
Athlete 437,Team 1,1/14/2019 9:51,NA,1,NA,6.4,0,64,64,5,51,61,67,Wellness
Athlete 546,Team 1,1/14/2019 13:44,NA,1,NA,6,1,67,0,0,100,77,63,Wellness
Athlete 238,Team 2,1/14/2019 14:25,NA,4,NA,7.9,0,96,0,0,100,71,100,Wellness
Athlete 238,Team 2,1/14/2019 14:25,NA,3,NA,7.9,0,96,0,0,100,71,100,Wellness
Athlete 238,Team 2,1/14/2019 14:27,NA,2,NA,8.2,0,89,0,0,100,55,98,Wellness
Athlete 238,Team 2,1/14/2019 14:27,NA,2,NA,8.2,0,89,0,0,100,55,98,Wellness
Athlete 238,Team 2,1/14/2019 14:28,NA,1,NA,6.4,0,43,39,0,100,78,91,Wellness
Athlete 5,Team 2,1/14/2019 15:04,NA,2,NA,8,1,100,0,0,91,62,100,Wellness
Athlete 5,Team 2,1/14/2019 15:04,NA,1,NA,8,1,100,0,0,91,62,100,Wellness
Athlete 18,Team 1,1/14/2019 16:38,NA,1,NA,7,0,74,14,54,94,71,78,Wellness
Athlete 180,Team 2,1/14/2019 17:23,NA,3,NA,8,0,73,23,19,68,53,67,Wellness
Athlete 180,Team 2,1/14/2019 17:26,NA,2,NA,7,2,65,61,29,51,25,60,Wellness
Athlete 180,Team 2,1/14/2019 17:30,NA,1,NA,9.5,0,63,43,26,62,42,65,Wellness
Athlete 186,Team 2,1/14/2019 23:25,NA,1,NA,5,0,42,55,0,7,14,50,Wellness
Athlete 270,Team 2,1/15/2019 5:16,NA,1,NA,8.4,0,90,0,55,100,0,83,Wellness
Athlete 61,Team 1,1/15/2019 5:47,NA,1,NA,7,0,66,0,10,100,43,80,Wellness
Athlete 325,Team 2,1/15/2019 7:01,NA,1,NA,7,0,84,0,28,100,61,61,Wellness
Athlete 465,Team 1,1/15/2019 7:02,NA,1,NA,7,0.3,65,23,5,68,95,49,Wellness
Athlete 43,Team 2,1/15/2019 7:03,NA,1,NA,7.7,0.1,78,17,8,87,83,85,Wellness
Athlete 18,Team 1,1/15/2019 7:07,NA,1,NA,6.7,0,64,20,31,90,58,73,Wellness
Athlete 459,Team 2,1/15/2019 7:08,NA,1,NA,7.8,1.5,68,2,23,98,70,71,Wellness
Athlete 201,Team 2,1/15/2019 7:08,NA,1,NA,8.9,0.5,49,24,67,87,44,88,Wellness
Athlete 240,Team 1,1/15/2019 7:11,NA,1,NA,7,1,65,21,23,89,55,51,Wellness
Athlete 106,Team 1,1/15/2019 7:30,NA,1,NA,9,1,69,5,6,77,4,66,Wellness
Athlete 289,Team 1,1/15/2019 7:35,NA,1,NA,8.8,0,58,18,44,42,63,50,Wellness
Athlete 506,Team 2,1/15/2019 8:21,NA,1,NA,8.1,0.9,51,29,11,97,71,71,Wellness
Athlete 13,Team 2,1/15/2019 8:51,NA,1,NA,5.4,0,96,1,54,100,0,100,Wellness
Athlete 259,Team 2,1/15/2019 9:07,NA,1,NA,9,0,100,0,45,100,63,92,Wellness
Athlete 236,Team 1,1/15/2019 9:18,NA,2,NA,7.5,0,88,0,0,100,100,94,Wellness
Athlete 236,Team 1,1/15/2019 9:18,NA,1,NA,7.5,0,88,0,0,100,100,94,Wellness
Athlete 387,Team 2,1/15/2019 9:25,NA,1,NA,8.6,1,93,13,0,100,100,100,Wellness
Athlete 480,Team 2,1/15/2019 9:54,NA,1,NA,9.5,0,75,7,0,80,48,49,Wellness
Athlete 439,Team 1,1/15/2019 9:55,NA,1,NA,7,1,66,24,45,76,100,87,Wellness
Athlete 323,Team 1,1/15/2019 10:29,NA,2,NA,6.2,0,84,33,0,100,53,91,Wellness
Athlete 323,Team 1,1/15/2019 10:30,NA,1,NA,7.5,0,69,19,0,100,68,91,Wellness
Athlete 25,Team 2,1/15/2019 10:47,NA,1,NA,8,0,62,7,8,91,28,82,Wellness
Athlete 180,Team 2,1/15/2019 10:50,NA,1,NA,9,0,62,34,29,73,18,72,Wellness
Athlete 437,Team 1,1/15/2019 12:32,NA,1,NA,7.7,0.9,39,34,9,80,75,63,Wellness
Athlete 238,Team 2,1/15/2019 15:18,NA,1,NA,8.3,0,97,0,0,61,99,95,Wellness
Athlete 58,Team 1,1/15/2019 21:35,NA,1,NA,7.4,0,50,76,71,86,36,36,Wellness
Athlete 506,Team 2,1/16/2019 5:09,NA,1,NA,7.4,0,43,29,5,73,72,69,Wellness
Athlete 439,Team 1,1/16/2019 5:30,NA,1,NA,7,0,63,32,16,83,100,78,Wellness
Athlete 201,Team 2,1/16/2019 7:01,NA,1,NA,8.1,0,91,0,43,88,52,78,Wellness
Athlete 270,Team 2,1/16/2019 7:08,NA,1,NA,6.9,0,63,35,55,100,0,89,Wellness
Athlete 325,Team 2,1/16/2019 7:31,NA,1,NA,8.1,0,67,12,28,100,59,64,Wellness
Athlete 465,Team 1,1/16/2019 7:36,NA,1,NA,8,0.5,63,28,13,54,99,68,Wellness
Athlete 459,Team 2,1/16/2019 7:39,NA,1,NA,7.9,1,57,5,38,96,60,66,Wellness
Athlete 43,Team 2,1/16/2019 7:40,NA,1,NA,7.5,0.3,55,25,24,87,75,66,Wellness
Athlete 289,Team 1,1/16/2019 8:05,NA,1,NA,7.8,0.6,57,0,22,5,65,26,Wellness
Athlete 437,Team 1,1/16/2019 8:09,NA,1,NA,8,0.8,67,34,20,72,72,56,Wellness
Athlete 106,Team 1,1/16/2019 8:19,NA,1,NA,8.5,1,68,41,25,97,15,73,Wellness
Athlete 240,Team 1,1/16/2019 8:32,NA,1,NA,7,2,37,34,45,75,53,49,Wellness
Athlete 186,Team 2,1/16/2019 8:33,NA,1,NA,6.9,0,55,50,0,33,24,41,Wellness
Athlete 387,Team 2,1/16/2019 8:53,NA,1,NA,8.4,0,92,0,0,100,100,100,Wellness
Athlete 18,Team 1,1/16/2019 9:12,NA,1,NA,7.9,0,66,36,38,85,54,69,Wellness
Athlete 546,Team 1,1/16/2019 9:56,NA,1,NA,6.2,0.5,81,0,0,100,85,78,Wellness
Athlete 480,Team 2,1/16/2019 10:08,NA,1,NA,7,0,0,61,41,74,17,30,Wellness
Athlete 13,Team 2,1/16/2019 11:45,NA,1,NA,5,0,72,78,0,100,38,53,Wellness
Athlete 259,Team 2,1/16/2019 13:14,NA,2,NA,8.6,0,93,0,0,100,100,100,Wellness
Athlete 259,Team 2,1/16/2019 13:14,NA,1,NA,8.6,0,93,0,0,100,100,100,Wellness
Athlete 238,Team 2,1/16/2019 13:28,NA,1,NA,8.3,0,86,16,38,80,89,99,Wellness
Athlete 236,Team 1,1/16/2019 13:32,NA,1,NA,8,0,100,0,0,100,100,100,Wellness
Athlete 58,Team 1,1/16/2019 14:53,NA,1,NA,9,0.5,73,14,51,87,75,11,Wellness
Athlete 25,Team 2,1/16/2019 19:39,NA,1,NA,5.6,0,30,16,6,83,23,37,Wellness
Athlete 366,Team 1,1/16/2019 23:08,NA,2,NA,8.1,0,49,19,3,91,56,40,Wellness
Athlete 366,Team 1,1/16/2019 23:11,NA,1,NA,7.5,0,37,60,57,92,30,35,Wellness
Athlete 506,Team 2,1/17/2019 4:59,NA,1,NA,8.5,1,81,6,4,99,92,91,Wellness
Athlete 201,Team 2,1/17/2019 6:33,NA,1,NA,7.9,0,28,10,53,100,65,50,Wellness
Athlete 259,Team 2,1/17/2019 6:48,NA,1,NA,7,0,93,0,49,100,74,100,Wellness
Athlete 270,Team 2,1/17/2019 6:54,NA,1,NA,7.7,0.8,45,39,43,100,28,85,Wellness
Athlete 289,Team 1,1/17/2019 7:03,NA,1,NA,9.1,0,85,38,50,52,51,50,Wellness
Athlete 465,Team 1,1/17/2019 7:04,NA,1,NA,7,0,47,32,21,32,52,35,Wellness
Athlete 459,Team 2,1/17/2019 7:28,NA,1,NA,8,0.5,49,21,21,86,66,57,Wellness
Athlete 240,Team 1,1/17/2019 8:02,NA,1,NA,7,1,34,50,45,76,45,50,Wellness
Athlete 437,Team 1,1/17/2019 8:05,NA,1,NA,8.1,0.4,73,36,32,57,80,71,Wellness
Athlete 106,Team 1,1/17/2019 8:51,NA,1,NA,9.6,0.8,88,0,1,98,2,89,Wellness
Athlete 18,Team 1,1/17/2019 8:53,NA,1,NA,5.9,0,57,24,35,100,70,66,Wellness
Athlete 546,Team 1,1/17/2019 8:58,NA,1,NA,6.5,1,79,0,0,100,68,70,Wellness
Athlete 387,Team 2,1/17/2019 9:09,NA,1,NA,7.5,0,95,0,0,100,100,99,Wellness
Athlete 186,Team 2,1/17/2019 9:40,NA,1,NA,6.5,0,41,95,0,4,29,47,Wellness
